,Name,Ground,Mat,Inns,O,M,R,W,4w,Best,Avg,S/R,E/R,BowlingScore
1276,Harpreet Brar,Arun Jaitley Stadium ,2,2,6.0,0,54,4,1,4/30,13.5,9.0,9.0,0.6984126984126984
1277,Harpreet Brar,Barsapara Cricket Stadium ,2,2,3.0,0,25,0,0,0/10,0.0,0.0,8.33,0.0
1279,Harpreet Brar,BRSABV Ekana Cricket Stadium ,2,2,4.0,0,24,1,0,1/10,24.0,24.0,6.0,0.09259259259259259
1281,Harpreet Brar,Dubai International Cricket Stadium ,3,3,11.0,0,80,1,0,1/17,80.0,66.0,7.27,0.03262217002675018
1282,Harpreet Brar,Eden Gardens ,3,2,3.0,0,25,1,0,1/4,25.0,18.0,8.33,0.09740892265731542
1283,Harpreet Brar,Himachal Pradesh Cricket Association Stadium ,3,2,4.0,0,58,0,0,0/19,0.0,0.0,14.5,0.0
1284,Harpreet Brar,M Chinnaswamy Stadium ,2,2,6.0,0,38,4,0,2/13,9.5,9.0,6.33,0.8054772452678213
1285,Harpreet Brar,MA Chidambaram Stadium ,3,2,6.0,0,38,3,0,2/17,12.67,12.0,6.33,0.4838709677419355
1286,Harpreet Brar,Maharaja Yadavindra Singh International Cricket St ,7,7,23.0,0,185,2,0,1/14,92.5,69.0,8.04,0.05898313082458417
1287,Harpreet Brar,Narendra Modi Stadium ,3,3,11.0,1,71,5,0,3/19,14.2,13.2,6.45,0.7385524372230428
1288,Harpreet Brar,Punjab Cricket Association IS Bindra Stadium ,5,5,13.0,0,103,3,0,2/31,34.33,26.0,7.92,0.21978021978021978
1289,Harpreet Brar,Rajiv Gandhi International Stadium ,2,2,6.1,0,62,1,0,1/36,62.0,37.0,10.05,0.04585052728106374
1290,Harpreet Brar,Sawai Mansingh Stadium ,3,3,12.0,0,99,6,0,3/22,16.5,12.0,8.25,0.8163265306122449
1291,Harpreet Brar,Sharjah Cricket Stadium ,2,2,8.0,0,51,0,0,0/25,0.0,0.0,6.38,0.0
1292,Harpreet Brar,Sheikh Zayed Stadium ,1,1,1.0,0,11,0,0,0/11,0.0,0.0,11.0,0.0
1293,Harpreet Brar,Wankhede Stadium ,3,3,8.0,0,61,3,0,3/26,20.33,16.0,7.63,0.34121929026387626
1294,Daniel Harris,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,1.0,0,11,0,0,0/11,0.0,0.0,11.0,0.0
1295,Daniel Harris,Rajiv Gandhi International Stadium ,2,1,2.0,0,15,0,0,0/15,0.0,0.0,7.5,0.0
1296,Ryan Harris,Arun Jaitley Stadium ,1,1,4.0,0,48,0,0,0/48,0.0,0.0,12.0,0.0
1301,Ryan Harris,Eden Gardens ,1,1,2.0,0,13,0,0,0/13,0.0,0.0,6.5,0.0
1302,Ryan Harris,Himachal Pradesh Cricket Association Stadium ,6,6,23.0,0,149,9,0,3/28,16.56,15.33,6.48,1.1727912431587175
1304,Ryan Harris,M Chinnaswamy Stadium ,3,3,10.0,1,96,6,0,3/38,16.0,10.0,9.6,0.8426966292134831
1306,Ryan Harris,Punjab Cricket Association IS Bindra Stadium ,7,7,26.0,0,194,8,1,4/34,24.25,19.5,7.46,0.8201523140011716
1307,Ryan Harris,Rajiv Gandhi International Stadium ,1,1,4.0,0,31,1,0,1/31,31.0,24.0,7.75,0.0796812749003984
1308,Ryan Harris,Sawai Mansingh Stadium ,1,1,4.0,0,30,0,0,0/30,0.0,0.0,7.5,0.0
1312,Ryan Harris,Wankhede Stadium ,1,1,4.0,0,33,2,0,2/33,16.5,12.0,8.25,0.272108843537415
1316,John Hastings,Eden Gardens ,2,2,6.4,1,37,2,0,2/6,18.5,20.0,5.55,0.22701475595913737
1318,Josh Hazlewood,Arun Jaitley Stadium ,2,2,7.0,0,65,3,0,2/36,21.67,14.0,9.29,0.33362989323843417
1320,Josh Hazlewood,BRSABV Ekana Cricket Stadium ,1,1,3.0,0,15,2,0,2/15,7.5,9.0,5.0,0.46511627906976744
1322,Josh Hazlewood,Dubai International Cricket Stadium ,6,6,23.0,0,169,6,0,2/29,28.17,23.0,7.35,0.5126452494873547
1323,Josh Hazlewood,Eden Gardens ,2,2,8.0,0,65,5,0,3/43,13.0,9.6,8.13,0.8135372600065082
1324,Josh Hazlewood,M Chinnaswamy Stadium ,4,4,13.5,0,130,8,1,4/33,16.25,10.38,9.4,1.1656952539550374
1325,Josh Hazlewood,MA Chidambaram Stadium ,1,1,4.0,0,21,3,0,3/21,7.0,8.0,5.25,0.7407407407407407
1326,Josh Hazlewood,Maharaja Yadavindra Singh International Cricket St ,2,2,7.1,0,60,3,0,3/21,20.0,14.33,8.37,0.35128805620608905
1328,Josh Hazlewood,Narendra Modi Stadium ,2,2,8.0,0,77,3,0,2/23,25.67,16.0,9.63,0.29239766081871343
1329,Josh Hazlewood,Sawai Mansingh Stadium ,1,1,3.0,0,26,1,0,1/26,26.0,18.0,8.67,0.09493070058857034
1330,Josh Hazlewood,Sharjah Cricket Stadium ,3,3,10.0,0,75,3,0,3/24,25.0,20.0,7.5,0.2857142857142857
1331,Josh Hazlewood,Sheikh Zayed Stadium ,3,3,12.0,0,113,3,0,2/40,37.67,24.0,9.42,0.21100014066676043
1332,Josh Hazlewood,Wankhede Stadium ,5,5,19.0,0,153,9,0,3/28,17.0,12.67,8.05,1.1930010604453871
1333,Travis Head,Arun Jaitley Stadium ,3,1,3.0,0,30,2,0,2/30,15.0,9.0,10.0,0.29411764705882354
1334,Travis Head,M Chinnaswamy Stadium ,4,2,2.0,0,22,0,0,0/11,0.0,0.0,11.0,0.0
1335,Travis Head,Narendra Modi Stadium ,3,1,1.4,0,32,0,0,0/32,0.0,0.0,19.2,0.0
1336,Travis Head,Rajiv Gandhi International Stadium ,13,1,1.0,0,11,0,0,0/11,0.0,0.0,11.0,0.0
1340,Beuran Hendricks,Arun Jaitley Stadium ,1,1,4.0,0,36,3,0,3/36,12.0,8.0,9.0,0.5172413793103449
1341,Beuran Hendricks,Eden Gardens ,1,1,4.0,0,35,1,0,1/35,35.0,24.0,8.75,0.07380073800738007
1342,Beuran Hendricks,Punjab Cricket Association IS Bindra Stadium ,4,4,13.0,0,124,3,0,1/9,41.33,26.0,9.54,0.19513464290360347
1343,Beuran Hendricks,Rajiv Gandhi International Stadium ,1,1,4.0,0,40,2,0,2/40,20.0,12.0,10.0,0.23809523809523808
1344,Moises Henriques,Arun Jaitley Stadium ,5,5,13.1,0,127,5,0,2/17,25.4,15.8,9.65,0.4916420845624385
1347,Moises Henriques,Dr YS Rajasekhara Reddy Cricket Stadium ,3,3,8.0,0,47,3,0,1/9,15.67,16.0,5.88,0.3994673768308921
1348,Moises Henriques,Dubai International Cricket Stadium ,1,1,1.0,0,9,0,0,0/9,0.0,0.0,9.0,0.0
1349,Moises Henriques,Eden Gardens ,3,3,7.0,0,60,1,0,1/20,60.0,42.0,8.57,0.045220222483494624
1352,Moises Henriques,M Chinnaswamy Stadium ,6,5,14.1,0,152,2,0,2/24,76.0,42.5,10.73,0.0773814129846011
1353,Moises Henriques,MA Chidambaram Stadium ,2,2,4.0,0,19,0,0,0/7,0.0,0.0,4.75,0.0
1355,Moises Henriques,Narendra Modi Stadium ,2,2,3.0,0,16,2,0,1/5,8.0,9.0,5.33,0.4478280340349306
1357,Moises Henriques,Punjab Cricket Association IS Bindra Stadium ,4,4,13.0,0,127,2,0,1/29,63.5,39.0,9.77,0.08907098957869422
1358,Moises Henriques,Rajiv Gandhi International Stadium ,21,21,56.5,0,434,18,0,3/16,24.11,18.94,7.64,1.7754981258630895
1360,Moises Henriques,Sawai Mansingh Stadium ,1,1,2.0,0,6,1,0,1/6,6.0,12.0,3.0,0.23809523809523808
1362,Moises Henriques,Sharjah Cricket Stadium ,1,1,4.0,0,12,3,0,3/12,4.0,8.0,3.0,1.0
1364,Matt Henry,BRSABV Ekana Cricket Stadium ,2,2,6.0,0,58,0,0,0/26,0.0,0.0,9.67,0.0
1365,Matt Henry,MA Chidambaram Stadium ,1,1,4.0,0,28,1,0,1/28,28.0,24.0,7.0,0.0847457627118644
1366,Matt Henry,Punjab Cricket Association IS Bindra Stadium ,1,1,3.0,0,31,1,0,1/31,31.0,18.0,10.33,0.08427439743805833
1367,Matt Henry,Wankhede Stadium ,2,2,4.0,0,64,0,0,0/24,0.0,0.0,16.0,0.0
1368,Ben Hilfenhaus,Arun Jaitley Stadium ,1,1,4.0,0,34,1,0,1/34,34.0,24.0,8.5,0.07518796992481203
1370,Ben Hilfenhaus,Dubai International Cricket Stadium ,2,2,8.0,0,71,3,0,2/39,23.67,16.0,8.88,0.3089598352214212
1371,Ben Hilfenhaus,Eden Gardens ,2,2,6.0,0,64,1,0,1/26,64.0,36.0,10.67,0.04517936206740761
1372,Ben Hilfenhaus,Himachal Pradesh Cricket Association Stadium ,1,1,4.0,0,20,1,0,1/20,20.0,24.0,5.0,0.10204081632653061
1374,Ben Hilfenhaus,M Chinnaswamy Stadium ,1,1,4.0,0,45,1,0,1/45,45.0,24.0,11.25,0.06230529595015576
1375,Ben Hilfenhaus,MA Chidambaram Stadium ,4,4,15.0,0,100,7,0,3/27,14.29,12.86,6.67,1.0348905972797162
1376,Ben Hilfenhaus,Sawai Mansingh Stadium ,1,1,4.0,1,8,2,0,2/8,4.0,12.0,2.0,0.5555555555555556
1377,Ben Hilfenhaus,Sharjah Cricket Stadium ,1,1,4.0,0,32,2,0,2/32,16.0,12.0,8.0,0.2777777777777778
1378,Ben Hilfenhaus,Sheikh Zayed Stadium ,1,1,2.0,0,9,1,0,1/9,9.0,12.0,4.5,0.19607843137254902
1379,Ben Hilfenhaus,Wankhede Stadium ,1,1,4.0,1,34,2,0,2/34,17.0,12.0,8.5,0.26666666666666666
1382,Bradley Hodge,Eden Gardens ,6,2,2.0,0,15,1,0,1/4,15.0,12.0,7.5,0.14492753623188406
1385,Bradley Hodge,MA Chidambaram Stadium ,3,1,3.0,0,24,1,0,1/24,24.0,18.0,8.0,0.1
1386,Bradley Hodge,Narendra Modi Stadium ,2,1,1.0,0,12,0,0,0/12,0.0,0.0,12.0,0.0
1387,Bradley Hodge,Rajiv Gandhi International Stadium ,1,1,1.0,0,3,0,0,0/3,0.0,0.0,3.0,0.0
1388,Bradley Hodge,Sawai Mansingh Stadium ,17,2,2.0,0,21,1,0,1/13,21.0,12.0,10.5,0.11494252873563218
1392,Brad Hogg,Arun Jaitley Stadium ,2,2,8.0,0,70,1,0,1/31,70.0,48.0,8.75,0.03944773175542406
1393,Brad Hogg,Eden Gardens ,10,10,34.2,1,257,12,1,4/29,21.42,17.17,7.49,1.345486111111111
1394,Brad Hogg,M Chinnaswamy Stadium ,2,2,6.0,0,42,2,0,1/19,21.0,18.0,7.0,0.21739130434782608
1395,Brad Hogg,MA Chidambaram Stadium ,2,2,8.0,0,36,2,0,1/18,18.0,24.0,4.5,0.21505376344086022
1396,Brad Hogg,Sawai Mansingh Stadium ,4,4,16.0,0,134,4,0,2/32,33.5,24.0,8.38,0.3035822707953856
1397,Brad Hogg,Wankhede Stadium ,1,1,4.0,0,31,2,0,2/31,15.5,12.0,7.75,0.28368794326241137
1398,Jason Holder,Arun Jaitley Stadium ,2,2,8.0,0,68,2,0,2/33,34.0,24.0,8.5,0.15037593984962405
1399,Jason Holder,Barsapara Cricket Stadium ,2,2,7.0,0,57,2,0,2/29,28.5,21.0,8.14,0.1734906315058987
1402,Jason Holder,Dubai International Cricket Stadium ,6,6,23.5,0,198,8,0,3/33,24.75,17.88,8.31,0.7852375343541421
1403,Jason Holder,Eden Gardens ,2,2,6.0,0,56,1,0,1/35,56.0,36.0,9.33,0.04934372841211882
1405,Jason Holder,M Chinnaswamy Stadium ,2,2,5.0,0,52,0,0,0/20,0.0,0.0,10.4,0.0
1406,Jason Holder,MA Chidambaram Stadium ,5,5,19.0,0,167,3,0,3/30,55.67,38.0,8.79,0.14639859457349208
1408,Jason Holder,Rajiv Gandhi International Stadium ,2,2,6.0,0,44,1,0,1/16,44.0,36.0,7.33,0.057254093667697244
1409,Jason Holder,Sawai Mansingh Stadium ,3,3,12.0,0,107,3,0,2/20,35.67,24.0,8.92,0.21869077124945327
1410,Jason Holder,Sharjah Cricket Stadium ,4,4,16.0,0,98,10,0,3/19,9.8,9.6,6.13,1.9584802193497848
1411,Jason Holder,Sheikh Zayed Stadium ,4,4,16.0,0,154,9,1,4/52,17.11,10.67,9.63,1.256348569901096
1412,Jason Holder,Wankhede Stadium ,4,4,15.3,0,186,3,0,2/50,62.0,31.0,12.0,0.14285714285714285
1413,Deepak Hooda,Arun Jaitley Stadium ,6,3,6.0,0,37,0,0,0/8,0.0,0.0,6.17,0.0
1415,Deepak Hooda,BRSABV Ekana Cricket Stadium ,11,2,3.0,0,21,0,0,0/8,0.0,0.0,7.0,0.0
1416,Deepak Hooda,Dr YS Rajasekhara Reddy Cricket Stadium ,4,2,3.0,0,24,1,0,1/13,24.0,18.0,8.0,0.1
1417,Deepak Hooda,Dubai International Cricket Stadium ,5,2,3.0,0,46,0,0,0/9,0.0,0.0,15.33,0.0
1418,Deepak Hooda,Eden Gardens ,7,1,2.0,0,16,2,0,2/16,8.0,6.0,8.0,0.45454545454545453
1419,Deepak Hooda,MA Chidambaram Stadium ,12,2,7.0,0,37,1,0,1/15,37.0,42.0,5.29,0.059319017677067265
1420,Deepak Hooda,Narendra Modi Stadium ,9,8,12.1,0,123,2,0,1/20,61.5,36.5,10.11,0.09249838127832763
1421,Deepak Hooda,Punjab Cricket Association IS Bindra Stadium ,5,2,3.0,0,33,0,0,0/16,0.0,0.0,11.0,0.0
1422,Deepak Hooda,Rajiv Gandhi International Stadium ,20,5,8.0,0,58,1,0,1/7,58.0,48.0,7.25,0.04415011037527594
1425,Deepak Hooda,Wankhede Stadium ,11,3,7.0,0,67,2,0,1/18,33.5,21.0,9.57,0.15607928827844547
1426,James Hopes,Arun Jaitley Stadium ,6,5,17.0,0,131,6,0,2/2,21.83,17.0,7.71,0.6446067898581865
1428,James Hopes,Eden Gardens ,1,1,2.0,0,23,1,0,1/23,23.0,12.0,11.5,0.10752688172043011
1429,James Hopes,Himachal Pradesh Cricket Association Stadium ,1,1,3.0,0,27,0,0,0/27,0.0,0.0,9.0,0.0
1430,James Hopes,M Chinnaswamy Stadium ,1,1,1.0,0,10,0,0,0/10,0.0,0.0,10.0,0.0
1431,James Hopes,MA Chidambaram Stadium ,2,2,6.0,0,52,0,0,0/16,0.0,0.0,8.67,0.0
1432,James Hopes,Punjab Cricket Association IS Bindra Stadium ,4,4,12.0,0,139,3,0,2/29,46.33,24.0,11.58,0.183127823220608
1433,James Hopes,Rajiv Gandhi International Stadium ,1,1,3.0,0,29,1,0,1/29,29.0,18.0,9.67,0.08823010411152285
1434,James Hopes,Sawai Mansingh Stadium ,1,1,4.0,0,33,1,0,1/33,33.0,24.0,8.25,0.07662835249042145
1435,James Hopes,Wankhede Stadium ,3,3,8.0,0,78,1,0,1/45,78.0,48.0,9.75,0.03683241252302026
1436,Akeal Hosein,Arun Jaitley Stadium ,1,1,4.0,0,40,1,0,1/40,40.0,24.0,10.0,0.06756756756756757
1437,David Hussey,Arun Jaitley Stadium ,4,3,9.0,0,57,1,0,1/19,57.0,54.0,6.33,0.04261484701269923
1438,David Hussey,Eden Gardens ,13,5,12.0,0,117,1,0,1/35,117.0,72.0,9.75,0.025157232704402517
1439,David Hussey,Himachal Pradesh Cricket Association Stadium ,4,1,3.0,0,23,0,0,0/23,0.0,0.0,7.67,0.0
1441,David Hussey,M Chinnaswamy Stadium ,3,1,2.0,0,9,0,0,0/9,0.0,0.0,4.5,0.0
1442,David Hussey,MA Chidambaram Stadium ,4,4,8.0,0,66,1,0,1/3,66.0,48.0,8.25,0.0408997955010225
1443,David Hussey,Punjab Cricket Association IS Bindra Stadium ,15,4,6.0,0,58,1,0,1/23,58.0,36.0,9.67,0.04822996045143243
1444,David Hussey,Rajiv Gandhi International Stadium ,3,1,1.0,0,2,2,0,2/2,1.0,3.0,2.0,1.6666666666666667
1445,David Hussey,Sawai Mansingh Stadium ,3,1,2.0,0,26,0,0,0/26,0.0,0.0,13.0,0.0
1448,David Hussey,Wankhede Stadium ,5,2,3.0,0,44,0,0,0/12,0.0,0.0,14.67,0.0
1449,Imran Tahir,Arun Jaitley Stadium ,11,11,36.0,0,264,17,1,4/28,15.53,12.71,7.33,2.445881360697217
1450,Imran Tahir,Dr YS Rajasekhara Reddy Cricket Stadium ,3,3,12.0,0,122,2,0,1/28,61.0,36.0,10.17,0.09330969487729775
1451,Imran Tahir,Dubai International Cricket Stadium ,1,1,4.0,0,30,0,0,0/30,0.0,0.0,7.5,0.0
1452,Imran Tahir,Eden Gardens ,3,3,12.0,0,109,7,1,4/27,15.57,10.29,9.08,1.0589582140812823
1454,Imran Tahir,M Chinnaswamy Stadium ,4,4,16.0,0,141,4,0,2/35,35.25,24.0,8.81,0.29385836027034967
1455,Imran Tahir,MA Chidambaram Stadium ,10,10,39.2,1,246,15,1,4/12,16.4,15.73,6.25,2.006253256904638
1457,Imran Tahir,Narendra Modi Stadium ,1,1,4.0,0,25,2,0,2/25,12.5,12.0,6.25,0.3252032520325203
1458,Imran Tahir,Punjab Cricket Association IS Bindra Stadium ,3,3,11.5,0,102,3,0,2/34,34.0,23.67,8.62,0.22627847337456627
1459,Imran Tahir,Rajiv Gandhi International Stadium ,3,3,11.0,0,67,5,0,2/20,13.4,13.2,6.09,0.7647598654022637
1461,Imran Tahir,Sawai Mansingh Stadium ,1,1,4.0,0,28,0,0,0/28,0.0,0.0,7.0,0.0
1462,Imran Tahir,Sharjah Cricket Stadium ,1,1,3.0,0,22,0,0,0/22,0.0,0.0,7.33,0.0
1463,Imran Tahir,Sheikh Zayed Stadium ,1,1,4.0,0,24,1,0,1/24,24.0,24.0,6.0,0.09259259259259259
1464,Imran Tahir,Wankhede Stadium ,6,6,20.3,0,160,8,0,3/37,20.0,15.38,7.8,0.9263547938860583
1465,Iqbal Abdulla,Arun Jaitley Stadium ,2,2,8.0,1,42,4,0,3/25,10.5,12.0,5.25,0.7207207207207207
1468,Iqbal Abdulla,Eden Gardens ,15,14,48.0,0,300,12,0,3/24,25.0,24.0,6.25,1.085972850678733
1470,Iqbal Abdulla,M Chinnaswamy Stadium ,6,6,19.0,0,173,7,0,2/36,24.71,16.29,9.11,0.6984633805627619
1471,Iqbal Abdulla,MA Chidambaram Stadium ,5,5,13.3,0,108,1,0,1/26,108.0,81.0,8.0,0.025380710659898477
1473,Iqbal Abdulla,Narendra Modi Stadium ,1,1,4.0,0,28,1,0,1/28,28.0,24.0,7.0,0.0847457627118644
1475,Iqbal Abdulla,Punjab Cricket Association IS Bindra Stadium ,2,2,5.0,0,38,0,0,0/12,0.0,0.0,7.6,0.0
1476,Iqbal Abdulla,Rajiv Gandhi International Stadium ,2,2,7.5,0,63,5,0,3/29,12.6,9.4,8.04,0.8322237017310253
1478,Iqbal Abdulla,Sawai Mansingh Stadium ,2,2,4.0,0,30,0,0,0/14,0.0,0.0,7.5,0.0
1480,Iqbal Abdulla,Sheikh Zayed Stadium ,1,1,2.0,0,17,0,0,0/17,0.0,0.0,8.5,0.0
1481,Iqbal Abdulla,Wankhede Stadium ,3,3,11.0,0,76,2,0,1/23,38.0,33.0,6.91,0.12835322808368632
1482,Ishan Kishan,Rajiv Gandhi International Stadium ,11,1,0.1,0,4,0,0,0/4,0.0,0.0,24.0,0.0
1483,Shreyas Iyer,Wankhede Stadium ,9,1,1.0,0,7,0,0,0/7,0.0,0.0,7.0,0.0
1486,Venkatesh Iyer,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,1.0,0,28,0,0,0/28,0.0,0.0,28.0,0.0
1487,Venkatesh Iyer,Dubai International Cricket Stadium ,3,2,3.3,0,35,1,0,1/30,35.0,21.0,10.0,0.07575757575757576
1488,Venkatesh Iyer,Sharjah Cricket Stadium ,4,1,4.0,0,29,2,0,2/29,14.5,12.0,7.25,0.2962962962962963
1489,Venkatesh Iyer,Sheikh Zayed Stadium ,3,1,1.0,0,5,0,0,0/5,0.0,0.0,5.0,0.0
1490,Venkatesh Iyer,Wankhede Stadium ,6,1,1.0,0,14,0,0,0/14,0.0,0.0,14.0,0.0
1491,Will Jacks,Himachal Pradesh Cricket Association Stadium ,1,1,1.0,0,5,0,0,0/5,0.0,0.0,5.0,0.0
1492,Will Jacks,M Chinnaswamy Stadium ,3,2,4.0,0,48,0,0,0/16,0.0,0.0,12.0,0.0
1493,Will Jacks,MA Chidambaram Stadium ,1,1,4.0,0,32,1,0,1/32,32.0,24.0,8.0,0.078125
1494,Will Jacks,Rajiv Gandhi International Stadium ,2,1,2.0,0,23,1,0,1/23,23.0,12.0,11.5,0.10752688172043011
1495,Will Jacks,Sawai Mansingh Stadium ,2,1,1.0,0,11,0,0,0/11,0.0,0.0,11.0,0.0
1496,Will Jacks,Wankhede Stadium ,8,7,11.0,0,101,6,0,2/14,16.83,11.0,9.18,0.810591731964334
1497,Ravindra Jadeja,Arun Jaitley Stadium ,15,13,39.0,0,323,10,0,3/31,32.3,23.4,8.28,0.7814942169427946
1499,Ravindra Jadeja,Barsapara Cricket Stadium ,1,1,2.0,0,10,1,0,1/10,10.0,12.0,5.0,0.18518518518518517
1501,Ravindra Jadeja,BRSABV Ekana Cricket Stadium ,3,3,9.0,0,67,3,0,2/24,22.33,18.0,7.44,0.31400460540087927
1504,Ravindra Jadeja,Dr YS Rajasekhara Reddy Cricket Stadium ,3,3,11.0,0,82,8,1,5/16,10.25,8.25,7.45,1.6184971098265897
1505,Ravindra Jadeja,Dubai International Cricket Stadium ,14,14,39.0,0,315,12,1,4/33,26.25,19.5,8.08,1.1517741036596694
1506,Ravindra Jadeja,Eden Gardens ,14,13,43.0,0,389,10,0,3/20,38.9,25.8,9.05,0.6779661016949152
1508,Ravindra Jadeja,Himachal Pradesh Cricket Association Stadium ,2,1,4.0,0,20,3,0,3/20,6.67,8.0,5.0,0.7625826131164208
1512,Ravindra Jadeja,M Chinnaswamy Stadium ,15,12,40.0,0,327,9,0,2/21,36.33,26.67,8.18,0.6322000561955605
1513,Ravindra Jadeja,MA Chidambaram Stadium ,55,50,144.5,1,1018,37,1,4/11,27.51,23.49,7.03,3.2224711356195073
1514,Ravindra Jadeja,Maharaja Yadavindra Singh International Cricket St ,1,1,3.0,0,18,0,0,0/18,0.0,0.0,6.0,0.0
1517,Ravindra Jadeja,Narendra Modi Stadium ,5,5,17.0,0,141,5,0,2/17,28.2,20.4,8.29,0.4394445420987872
1520,Ravindra Jadeja,Punjab Cricket Association IS Bindra Stadium ,6,5,15.0,0,112,5,0,2/30,22.4,18.0,7.47,0.5222477543346564
1521,Ravindra Jadeja,Rajiv Gandhi International Stadium ,8,6,18.0,0,120,0,0,0/12,0.0,0.0,6.67,0.0
1523,Ravindra Jadeja,Sawai Mansingh Stadium ,13,7,22.1,0,155,6,0,2/20,25.83,22.17,6.99,0.5455537370430987
1525,Ravindra Jadeja,Sharjah Cricket Stadium ,6,6,16.5,0,158,1,0,1/14,158.0,101.0,9.39,0.018629606170125563
1526,Ravindra Jadeja,Sheikh Zayed Stadium ,8,7,20.1,0,161,6,0,2/18,26.83,20.17,7.98,0.5456529647144416
1529,Ravindra Jadeja,Wankhede Stadium ,22,22,68.1,1,516,18,0,3/13,28.67,22.72,7.57,1.5264586160108549
1530,Yashasvi Jaiswal,Wankhede Stadium ,5,1,0.1,0,6,0,0,0/6,0.0,0.0,36.0,0.0
1531,Shadab Jakati,Arun Jaitley Stadium ,1,1,3.0,0,23,0,0,0/23,0.0,0.0,7.67,0.0
1536,Shadab Jakati,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,2.0,0,14,2,0,2/14,7.0,6.0,7.0,0.5
1537,Shadab Jakati,Eden Gardens ,2,2,6.0,0,40,2,0,2/26,20.0,18.0,6.67,0.2238638907544213
1539,Shadab Jakati,Himachal Pradesh Cricket Association Stadium ,1,1,1.0,0,14,0,0,0/14,0.0,0.0,14.0,0.0
1541,Shadab Jakati,M Chinnaswamy Stadium ,4,3,10.4,0,111,1,0,1/25,111.0,64.0,10.41,0.02696726174424249
1542,Shadab Jakati,MA Chidambaram Stadium ,23,23,70.0,1,521,18,0,2/17,28.94,23.33,7.44,1.5072852118573106
1543,Shadab Jakati,Narendra Modi Stadium ,1,1,4.0,0,30,2,0,2/30,15.0,12.0,7.5,0.2898550724637681
1545,Shadab Jakati,Punjab Cricket Association IS Bindra Stadium ,1,1,2.1,0,28,0,0,0/28,0.0,0.0,12.92,0.0
1547,Shadab Jakati,Sawai Mansingh Stadium ,1,1,4.0,0,30,0,0,0/30,0.0,0.0,7.5,0.0
1552,Shadab Jakati,Wankhede Stadium ,3,3,10.0,0,77,2,0,1/13,38.5,30.0,7.7,0.13123359580052493
1553,Kyle Jamieson,Dubai International Cricket Stadium ,1,1,2.0,0,22,0,0,0/22,0.0,0.0,11.0,0.0
1554,Kyle Jamieson,MA Chidambaram Stadium ,3,3,10.0,0,98,5,0,3/41,19.6,12.0,9.8,0.6038647342995168
1555,Kyle Jamieson,Maharaja Yadavindra Singh International Cricket St ,1,1,3.0,1,27,1,0,1/27,27.0,18.0,9.0,0.09259259259259259
1556,Kyle Jamieson,Narendra Modi Stadium ,4,4,15.0,0,142,7,0,3/48,20.29,12.86,9.47,0.8212106992022525
1557,Kyle Jamieson,Sawai Mansingh Stadium ,1,1,4.0,0,42,0,0,0/42,0.0,0.0,10.5,0.0
1558,Kyle Jamieson,Sheikh Zayed Stadium ,1,1,2.0,0,26,0,0,0/26,0.0,0.0,13.0,0.0
1559,Kyle Jamieson,Wankhede Stadium ,2,2,7.0,0,59,1,0,1/28,59.0,42.0,8.43,0.045691309512930635
1560,Duan Jansen,Wankhede Stadium ,1,1,4.0,0,53,1,0,1/53,53.0,24.0,13.25,0.055401662049861494
1562,Marco Jansen,BRSABV Ekana Cricket Stadium ,1,1,4.0,0,28,1,0,1/28,28.0,24.0,7.0,0.0847457627118644
1564,Marco Jansen,Eden Gardens ,3,3,8.0,0,83,2,0,2/37,41.5,24.0,10.38,0.13178703215603585
1565,Marco Jansen,Himachal Pradesh Cricket Association Stadium ,1,1,4.0,0,31,1,0,1/31,31.0,24.0,7.75,0.0796812749003984
1566,Marco Jansen,M Chinnaswamy Stadium ,1,1,3.0,0,10,2,0,2/10,5.0,9.0,3.33,0.5770340450086555
1567,Marco Jansen,MA Chidambaram Stadium ,4,4,13.0,0,112,4,0,2/28,28.0,19.5,8.62,0.3563791874554526
1568,Marco Jansen,Maharaja Yadavindra Singh International Cricket St ,4,4,14.1,0,130,4,0,3/17,32.5,21.25,9.18,0.3178134435086604
1570,Marco Jansen,Narendra Modi Stadium ,2,2,8.0,0,83,2,0,1/39,41.5,24.0,10.38,0.13178703215603585
1571,Marco Jansen,Rajiv Gandhi International Stadium ,6,6,18.0,1,193,6,0,2/16,32.17,18.0,10.72,0.4926917392018394
1572,Marco Jansen,Sawai Mansingh Stadium ,4,4,15.0,0,160,6,0,2/34,26.67,15.0,10.67,0.573175391669851
1573,Marco Jansen,Wankhede Stadium ,2,2,7.0,0,108,1,0,1/45,108.0,42.0,15.43,0.030224264039170647
1577,Jaskaran Singh,Eden Gardens ,1,1,3.0,0,18,2,0,2/18,9.0,9.0,6.0,0.4166666666666667
1578,Jaskaran Singh,MA Chidambaram Stadium ,1,1,1.0,0,16,0,0,0/16,0.0,0.0,16.0,0.0
1580,Sanath Jayasuriya,Arun Jaitley Stadium ,2,2,8.0,0,52,2,0,2/17,26.0,24.0,6.5,0.17699115044247787
1584,Sanath Jayasuriya,Eden Gardens ,1,1,4.0,1,14,3,0,3/14,4.67,8.0,3.5,0.9276437847866418
