,Name,Ground,Mat,Inns,O,M,R,W,4w,Best,Avg,S/R,E/R,BowlingScore
577,Carlos Brathwaite,Rajiv Gandhi International Stadium ,1,1,2.4,0,21,2,0,2/21,10.5,8.0,7.88,0.37907505686125853
579,Carlos Brathwaite,Wankhede Stadium ,2,2,5.3,0,58,1,0,1/27,58.0,33.0,10.55,0.049236829148202856
580,Dwayne Bravo,Arun Jaitley Stadium ,8,8,23.3,0,190,12,0,3/9,15.83,11.75,8.09,1.682085786375105
585,Dwayne Bravo,Dr YS Rajasekhara Reddy Cricket Stadium ,2,2,5.0,0,29,2,0,2/19,14.5,15.0,5.8,0.28328611898017
586,Dwayne Bravo,Dubai International Cricket Stadium ,9,9,28.4,0,257,8,0,3/25,32.13,21.5,8.97,0.6389776357827476
587,Dwayne Bravo,Eden Gardens ,9,9,26.4,0,234,8,1,4/42,29.25,20.0,8.78,0.7237635705669481
589,Dwayne Bravo,Himachal Pradesh Cricket Association Stadium ,1,1,3.0,0,18,2,0,2/18,9.0,9.0,6.0,0.4166666666666667
592,Dwayne Bravo,M Chinnaswamy Stadium ,9,8,26.0,1,221,8,0,2/10,27.63,19.5,8.5,0.7190364911019235
593,Dwayne Bravo,MA Chidambaram Stadium ,37,37,127.5,0,1058,44,0,3/22,24.05,17.43,8.28,4.421221864951768
595,Dwayne Bravo,Narendra Modi Stadium ,1,1,2.2,0,30,1,0,1/30,30.0,14.0,12.86,0.08793527963418923
597,Dwayne Bravo,Punjab Cricket Association IS Bindra Stadium ,6,6,21.0,0,160,9,1,4/22,17.78,14.0,7.62,1.1928934010152286
598,Dwayne Bravo,Rajiv Gandhi International Stadium ,6,6,21.0,0,149,10,0,3/24,14.9,12.6,7.1,1.445086705202312
600,Dwayne Bravo,Sawai Mansingh Stadium ,4,4,13.5,0,140,3,0,1/31,46.67,27.67,10.12,0.17759886336727443
601,Dwayne Bravo,Sharjah Cricket Stadium ,3,3,11.0,0,64,6,0,3/24,10.67,11.0,5.82,1.0913059294288832
602,Dwayne Bravo,Sheikh Zayed Stadium ,2,1,4.0,0,37,3,0,3/37,12.33,8.0,9.25,0.5070993914807302
606,Dwayne Bravo,Wankhede Stadium ,19,19,66.0,1,553,26,0,3/20,21.27,15.23,8.38,2.8966131907308377
608,Jasprit Bumrah,Arun Jaitley Stadium ,9,9,35.0,0,332,8,0,2/18,41.5,26.25,9.49,0.5178663904712585
611,Jasprit Bumrah,BRSABV Ekana Cricket Stadium ,1,1,4.0,0,17,0,0,0/17,0.0,0.0,4.25,0.0
613,Jasprit Bumrah,Dr YS Rajasekhara Reddy Cricket Stadium ,3,3,10.0,0,61,3,0,3/13,20.33,20.0,6.1,0.32306698255438293
614,Jasprit Bumrah,Dubai International Cricket Stadium ,8,8,30.0,1,208,15,1,4/14,13.87,12.0,6.93,2.347560975609756
615,Jasprit Bumrah,Eden Gardens ,5,5,18.0,0,170,4,0,2/39,42.5,27.0,9.44,0.2533569799847986
618,Jasprit Bumrah,M Chinnaswamy Stadium ,7,7,27.0,1,187,11,0,3/7,17.0,14.73,6.93,1.422659079151578
619,Jasprit Bumrah,MA Chidambaram Stadium ,7,7,26.0,0,162,6,0,2/10,27.0,26.0,6.23,0.5065000844166807
620,Jasprit Bumrah,Maharaja Yadavindra Singh International Cricket St ,2,2,8.0,0,48,4,0,3/21,12.0,12.0,6.0,0.6666666666666666
622,Jasprit Bumrah,Narendra Modi Stadium ,3,3,11.0,0,77,3,0,3/14,25.67,22.0,7.0,0.27437351381013353
623,Jasprit Bumrah,Punjab Cricket Association IS Bindra Stadium ,3,3,11.4,0,80,5,0,3/26,16.0,14.0,6.86,0.6782419967444384
624,Jasprit Bumrah,Rajiv Gandhi International Stadium ,9,9,33.2,0,230,9,0,2/14,25.56,22.22,6.9,0.8229700073152889
626,Jasprit Bumrah,Sawai Mansingh Stadium ,5,5,20.0,0,124,6,0,2/15,20.67,20.0,6.2,0.6400682739492212
627,Jasprit Bumrah,Sharjah Cricket Stadium ,4,4,16.0,0,109,7,0,2/14,15.57,13.71,6.81,0.969797727902466
628,Jasprit Bumrah,Sheikh Zayed Stadium ,11,11,44.0,1,319,20,1,4/20,15.95,13.2,7.25,2.8021978021978025
629,Jasprit Bumrah,Wankhede Stadium ,47,47,184.1,3,1319,61,2,5/21,21.62,18.11,7.16,6.589891234804862
630,Nandre Burger,MA Chidambaram Stadium ,1,1,3.0,0,21,1,0,1/21,21.0,18.0,7.0,0.10869565217391304
