,Name,Ground,Mat,Inns,NO,100s,50s,Ducks,4s,6s,HS,Runs,Avg,S/R,Ca,St,Batting_Score
0,Varun Aaron,Arun Jaitley Stadium ,8,2,1,0,0,0,0,0,3*,4,4.0,50.0,0,0,0.0032188758248682006
2,Varun Aaron,Dubai International Cricket Stadium ,3,2,2,0,0,0,0,0,11*,11,0.0,47.83,0,0,0.0
3,Varun Aaron,Eden Gardens ,3,1,0,0,0,0,0,0,4,4,4.0,80.0,1,0,0.005150201319789121
4,Varun Aaron,Himachal Pradesh Cricket Association Stadium ,2,1,1,0,0,0,0,0,0*,0,0.0,0.0,1,0,0.0
7,Varun Aaron,M Chinnaswamy Stadium ,14,4,3,0,0,0,1,2,17*,23,23.0,121.05,1,0,0.08848178571763234
8,Varun Aaron,MA Chidambaram Stadium ,3,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
10,Varun Aaron,Punjab Cricket Association IS Bindra Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
11,Varun Aaron,Rajiv Gandhi International Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
12,Varun Aaron,Sawai Mansingh Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
13,Varun Aaron,Sharjah Cricket Stadium ,3,1,0,0,0,0,0,0,1,1,1.0,0.0,0,0,0.0
14,Varun Aaron,Sheikh Zayed Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
15,Varun Aaron,Wankhede Stadium ,2,1,1,0,0,0,1,0,7*,7,0.0,87.5,0,0,0.0
16,Kyle Abbott,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,1,0,0,0,0,0,1*,1,0.0,100.0,0,0,0.0
17,Kyle Abbott,M Chinnaswamy Stadium ,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
18,Kyle Abbott,Punjab Cricket Association IS Bindra Stadium ,2,1,1,0,0,0,0,1,12*,12,0.0,200.0,0,0,0.0
19,Kyle Abbott,Rajiv Gandhi International Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
21,Sean Abbott,Eden Gardens ,1,1,0,0,0,0,0,0,1,1,1.0,25.0,0,0,0.00017328679513998633
22,Sean Abbott,M Chinnaswamy Stadium ,1,1,0,0,0,0,1,1,14,14,14.0,155.56,0,0,0.05897700049968437
23,Abdul Samad,Arun Jaitley Stadium ,3,3,0,0,0,0,2,4,28,51,17.0,137.84,2,0,0.09258870380877487
24,Abdul Samad,BRSABV Ekana Cricket Stadium ,8,8,3,0,0,0,4,6,27,80,16.0,150.94,2,0,0.10612770486500127
26,Abdul Samad,Dubai International Cricket Stadium ,8,5,1,0,0,0,4,4,28,76,19.0,133.33,5,0,0.11004031961019284
27,Abdul Samad,Eden Gardens ,2,2,0,0,0,0,2,1,15,21,10.5,140.0,0,0,0.04543832406436724
28,Abdul Samad,Himachal Pradesh Cricket Association Stadium ,1,1,0,0,0,0,2,4,45,45,45.0,187.5,0,0,0.3230416178287674
29,Abdul Samad,M Chinnaswamy Stadium ,1,1,1,0,0,0,4,3,37*,37,0.0,370.0,0,0,0.0
30,Abdul Samad,MA Chidambaram Stadium ,6,6,1,0,0,2,2,3,19*,49,9.8,119.51,3,0,0.045817535199114336
31,Abdul Samad,Maharaja Yadavindra Singh International Cricket St ,1,1,0,0,0,0,5,0,25,25,25.0,208.33,0,0,0.16968981294150384
33,Abdul Samad,Narendra Modi Stadium ,4,3,0,0,0,0,4,3,29,49,16.33,168.97,3,0,0.10794367229620074
34,Abdul Samad,Rajiv Gandhi International Stadium ,12,7,4,0,0,0,9,9,37*,142,47.33,130.28,10,0,0.30601656327704235
35,Abdul Samad,Sawai Mansingh Stadium ,2,2,2,0,0,0,0,6,30*,47,0.0,276.47,0,0,0.0
36,Abdul Samad,Sharjah Cricket Stadium ,5,4,1,0,0,0,2,3,20,39,13.0,156.0,0,0,0.07481047532943062
37,Abdul Samad,Sheikh Zayed Stadium ,6,5,1,0,0,0,5,4,33,71,17.75,161.36,5,0,0.12248970498118646
38,Abdul Samad,Wankhede Stadium ,2,2,0,0,0,0,0,0,3,5,2.5,62.5,0,0,0.002799624170668836
40,Yusuf Abdulla,M Chinnaswamy Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
42,Yusuf Abdulla,Punjab Cricket Association IS Bindra Stadium ,1,1,1,0,0,0,0,0,0*,0,0.0,0.0,0,0,0.0
45,Abdur Razzak,Sawai Mansingh Stadium ,1,1,1,0,0,0,0,0,0*,0,0.0,0.0,0,0,0.0
46,Abhishek Sharma,Arun Jaitley Stadium ,6,6,2,0,1,0,21,14,67,208,52.0,214.43,2,0,0.5956895014973835
48,Abhishek Sharma,BRSABV Ekana Cricket Stadium ,2,2,0,0,1,0,7,9,59,93,46.5,251.35,1,0,0.5310100717384579
50,Abhishek Sharma,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,0,0,0,0,0,0,1,1,1.0,100.0,0,0,0.0006931471805599453
51,Abhishek Sharma,Dubai International Cricket Stadium ,6,5,1,0,0,0,7,3,31,77,19.25,128.33,1,0,0.10762606541784703
52,Abhishek Sharma,Eden Gardens ,3,3,0,0,0,0,7,4,32,66,22.0,157.14,0,0,0.1453595876064412
53,Abhishek Sharma,M Chinnaswamy Stadium ,1,1,0,0,0,0,2,2,34,34,34.0,154.55,0,0,0.18682287458708421
54,Abhishek Sharma,MA Chidambaram Stadium ,8,7,0,0,0,1,5,3,34,70,10.0,122.81,7,0,0.05234997156994439
55,Abhishek Sharma,Maharaja Yadavindra Singh International Cricket St ,1,1,0,0,0,0,2,1,16,16,16.0,145.45,1,0,0.06593454094287625
57,Abhishek Sharma,Narendra Modi Stadium ,4,4,0,0,1,0,7,8,74,111,27.75,158.57,3,0,0.20762893157090048
58,Abhishek Sharma,Rajiv Gandhi International Stadium ,20,19,2,1,3,1,51,37,141,521,30.65,204.31,7,0,0.39186149588581254
59,Abhishek Sharma,Sawai Mansingh Stadium ,1,1,0,0,1,0,5,2,55,55,55.0,161.76,0,0,0.3581274892213248
60,Abhishek Sharma,Sharjah Cricket Stadium ,3,3,0,0,0,0,1,2,18,36,12.0,116.13,1,0,0.050320307663444856
61,Abhishek Sharma,Sheikh Zayed Stadium ,4,4,2,0,0,0,5,2,33,49,24.5,163.33,0,0,0.1565429257817619
62,Abhishek Sharma,Wankhede Stadium ,7,7,0,0,1,1,19,6,65,170,24.29,126.87,2,0,0.15844922157993735
63,Love Ablish,Arun Jaitley Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
64,Love Ablish,M Chinnaswamy Stadium ,1,1,1,0,0,0,0,0,0*,0,0.0,0.0,0,0,0.0
65,Love Ablish,Punjab Cricket Association IS Bindra Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
66,Ajit Agarkar,Arun Jaitley Stadium ,10,5,2,0,0,1,1,0,17,29,9.67,100.0,2,0,0.03288957868067304
68,Ajit Agarkar,Eden Gardens ,7,3,1,0,0,0,2,0,8*,15,7.5,115.38,0,0,0.023992596507901944
70,Ajit Agarkar,M Chinnaswamy Stadium ,2,1,1,0,0,0,0,0,6*,6,0.0,100.0,1,0,0.0
71,Ajit Agarkar,MA Chidambaram Stadium ,3,2,1,0,0,0,3,0,11,20,20.0,142.86,0,0,0.08698809509063365
74,Ajit Agarkar,Punjab Cricket Association IS Bindra Stadium ,2,1,1,0,0,0,0,0,1*,1,0.0,50.0,0,0,0.0
75,Ajit Agarkar,Rajiv Gandhi International Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
76,Ajit Agarkar,Sawai Mansingh Stadium ,2,1,0,0,0,0,1,2,20,20,20.0,153.85,2,0,0.09367995540874972
80,Ajit Agarkar,Wankhede Stadium ,3,2,1,0,0,0,3,0,15,22,22.0,110.0,0,0,0.07587896002548541
81,Mayank Agarwal,Arun Jaitley Stadium ,11,10,1,0,1,0,21,4,52*,177,19.67,113.46,3,0,0.11564487928989474
83,Mayank Agarwal,BRSABV Ekana Cricket Stadium ,3,3,1,0,0,0,7,0,41*,60,30.0,150.0,1,0,0.184989323887799
85,Mayank Agarwal,Dr YS Rajasekhara Reddy Cricket Stadium ,2,2,0,0,0,0,0,1,8,9,4.5,112.5,0,0,0.011656837033282356
86,Mayank Agarwal,Dubai International Cricket Stadium ,10,10,0,0,2,0,31,9,89,311,31.1,141.36,8,0,0.2524794194255408
87,Mayank Agarwal,Eden Gardens ,6,6,1,0,1,0,12,2,58,120,24.0,127.66,2,0,0.1469353490522112
89,Mayank Agarwal,M Chinnaswamy Stadium ,16,14,1,0,1,1,25,17,64*,270,20.77,143.62,5,0,0.16711049855987006
90,Mayank Agarwal,MA Chidambaram Stadium ,10,10,0,0,0,1,22,8,45,191,19.1,120.13,8,0,0.1206323375369642
91,Mayank Agarwal,Maharaja Yadavindra Singh International Cricket St ,1,1,0,0,0,0,2,1,19,19,19.0,146.15,0,0,0.083186991638184
93,Mayank Agarwal,Narendra Modi Stadium ,5,5,1,0,1,0,16,7,99*,187,46.75,136.5,1,0,0.3341569983055397
95,Mayank Agarwal,Punjab Cricket Association IS Bindra Stadium ,12,12,0,0,1,0,15,13,55,246,20.5,147.31,5,0,0.16637553915307682
96,Mayank Agarwal,Rajiv Gandhi International Stadium ,12,12,0,0,0,0,26,3,49,247,20.58,116.51,9,0,0.13219966022578739
97,Mayank Agarwal,Sawai Mansingh Stadium ,2,2,0,0,0,0,3,2,22,37,18.5,90.24,2,0,0.06072731838493617
98,Mayank Agarwal,Sharjah Cricket Stadium ,5,5,0,1,1,0,20,12,106,219,43.8,164.66,1,0,0.3889942437606823
99,Mayank Agarwal,Sheikh Zayed Stadium ,4,4,0,0,1,0,14,1,56,109,27.25,137.97,1,0,0.1767231377286335
100,Mayank Agarwal,Wankhede Stadium ,12,11,0,0,2,2,27,8,83,240,21.82,136.36,4,0,0.16319328772944144
102,Abu Ahmed,Eden Gardens ,3,1,1,0,0,0,1,0,5*,0,0.0,5.0,1,0,0.0
104,Abu Ahmed,M Chinnaswamy Stadium ,3,2,1,0,0,0,1,0,4,5,5.0,166.67,0,0,0.014931627536811995
105,Abu Ahmed,MA Chidambaram Stadium ,3,2,2,0,0,0,1,1,18*,22,0.0,110.0,0,0,0.0
107,Abu Ahmed,Rajiv Gandhi International Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
108,Abu Ahmed,Wankhede Stadium ,4,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
109,Khaleel Ahmed,Arun Jaitley Stadium ,12,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
110,Khaleel Ahmed,Barsapara Cricket Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
112,Khaleel Ahmed,BRSABV Ekana Cricket Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
114,Khaleel Ahmed,Dr YS Rajasekhara Reddy Cricket Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
115,Khaleel Ahmed,Dubai International Cricket Stadium ,6,1,0,0,0,1,0,0,0,0,0.0,0.0,1,0,0.0
116,Khaleel Ahmed,Eden Gardens ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
117,Khaleel Ahmed,Himachal Pradesh Cricket Association Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
118,Khaleel Ahmed,M Chinnaswamy Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
119,Khaleel Ahmed,MA Chidambaram Stadium ,11,3,2,0,0,0,0,0,1*,2,2.0,0.0,0,0,0.0
120,Khaleel Ahmed,Maharaja Yadavindra Singh International Cricket St ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
122,Khaleel Ahmed,Narendra Modi Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
123,Khaleel Ahmed,Rajiv Gandhi International Stadium ,4,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
124,Khaleel Ahmed,Sawai Mansingh Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
125,Khaleel Ahmed,Sharjah Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
126,Khaleel Ahmed,Sheikh Zayed Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
127,Khaleel Ahmed,Wankhede Stadium ,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
128,Akash Deep,BRSABV Ekana Cricket Stadium ,4,2,1,0,0,1,0,1,6*,6,6.0,0.0,0,0,0.0
130,Akash Deep,Eden Gardens ,2,1,0,0,0,0,2,1,17,17,17.0,212.5,1,0,0.10441467975399893
131,Akash Deep,M Chinnaswamy Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
133,Akash Deep,Narendra Modi Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
134,Akash Deep,Wankhede Stadium ,2,1,1,0,0,0,0,0,2*,2,0.0,100.0,0,0,0.0
135,Akash Singh,BRSABV Ekana Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
136,Akash Singh,Eden Gardens ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
137,Akash Singh,Himachal Pradesh Cricket Association Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
138,Akash Singh,M Chinnaswamy Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
139,Akash Singh,MA Chidambaram Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
140,Akash Singh,Narendra Modi Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
141,Akash Singh,Sawai Mansingh Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
142,Akash Singh,Sheikh Zayed Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
145,Balachandra Akhil,M Chinnaswamy Stadium ,4,4,1,0,0,1,1,0,5,10,3.33,83.33,1,0,0.0066538932156401985
146,Balachandra Akhil,MA Chidambaram Stadium ,1,1,1,0,0,0,1,0,6*,6,0.0,85.71,1,0,0.0
149,Balachandra Akhil,Rajiv Gandhi International Stadium ,1,1,1,0,0,0,2,3,27*,27,0.0,385.71,1,0,0.0
153,Balachandra Akhil,Wankhede Stadium ,1,1,1,0,0,0,0,0,3*,3,0.0,60.0,0,0,0.0
155,Fabian Allen,Dubai International Cricket Stadium ,2,2,2,0,0,0,0,0,0*,0,0.0,0.0,1,0,0.0
156,Fabian Allen,MA Chidambaram Stadium ,2,1,0,0,0,0,0,0,6,6,6.0,54.55,1,0,0.00636896391785804
157,Aman Hakim Khan,Arun Jaitley Stadium ,5,4,0,0,0,1,2,2,16,31,7.75,83.78,3,0,0.022502849930083484
159,Aman Hakim Khan,BRSABV Ekana Cricket Stadium ,1,1,0,0,0,0,0,0,4,4,4.0,80.0,0,0,0.005150201319789121
160,Aman Hakim Khan,Himachal Pradesh Cricket Association Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
161,Aman Hakim Khan,M Chinnaswamy Stadium ,1,1,0,0,0,0,1,1,18,18,18.0,180.0,1,0,0.09539982292499266
162,Aman Hakim Khan,MA Chidambaram Stadium ,1,1,1,0,0,0,0,0,2*,2,0.0,66.67,1,0,0.0
163,Aman Hakim Khan,Narendra Modi Stadium ,1,1,0,0,1,0,3,3,51,51,51.0,115.91,1,0,0.23357421630459438
164,Aman Hakim Khan,Rajiv Gandhi International Stadium ,1,1,0,0,0,0,1,0,4,4,4.0,200.0,2,0,0.012875503299472802
165,Palani Amarnath,Arun Jaitley Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
166,Palani Amarnath,M Chinnaswamy Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
167,Palani Amarnath,MA Chidambaram Stadium ,3,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
168,Palani Amarnath,Punjab Cricket Association IS Bindra Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
169,Hashim Amla,Arun Jaitley Stadium ,1,1,0,0,0,0,4,0,19,19,19.0,158.33,0,0,0.09011971526564266
170,Hashim Amla,Dr YS Rajasekhara Reddy Cricket Stadium ,2,2,0,0,0,1,4,1,30,30,15.0,93.75,0,0,0.04829044506307237
171,Hashim Amla,Eden Gardens ,1,1,0,0,0,0,4,0,25,25,25.0,92.59,0,0,0.07541678961385226
173,Hashim Amla,M Chinnaswamy Stadium ,2,2,0,0,0,0,0,1,9,10,5.0,111.11,0,0,0.013321507188031345
174,Hashim Amla,Punjab Cricket Association IS Bindra Stadium ,5,5,1,1,1,0,25,7,104,238,59.5,147.83,0,0,0.481703436094811
175,Hashim Amla,Rajiv Gandhi International Stadium ,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
177,Anand Rajan,Arun Jaitley Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
179,Anand Rajan,Dr YS Rajasekhara Reddy Cricket Stadium ,2,1,0,0,0,0,0,2,15,15,15.0,187.5,0,0,0.07797905781299384
180,Anand Rajan,Himachal Pradesh Cricket Association Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0.0
181,Anand Rajan,M Chinnaswamy Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
182,Anand Rajan,Rajiv Gandhi International Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
183,Anand Rajan,Sawai Mansingh Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
184,Anand Rajan,Wankhede Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
185,Corey Anderson,Arun Jaitley Stadium ,5,5,3,0,0,0,5,8,41*,104,52.0,144.44,3,0,0.3495533771479114
188,Corey Anderson,Dubai International Cricket Stadium ,3,3,0,0,0,0,5,1,39,58,19.33,100.0,1,0,0.07881879879069756
189,Corey Anderson,Eden Gardens ,2,2,1,0,1,0,4,3,55*,57,57.0,123.91,0,0,0.2867838112589799
191,Corey Anderson,M Chinnaswamy Stadium ,2,2,0,0,0,0,0,1,15,17,8.5,80.95,0,0,0.019887925473144035
193,Corey Anderson,Narendra Modi Stadium ,1,1,0,0,1,0,5,3,50,50,50.0,131.58,1,0,0.2586748083769334
194,Corey Anderson,Punjab Cricket Association IS Bindra Stadium ,1,1,0,0,0,0,0,1,18,18,18.0,72.0,0,0,0.03815992916999707
195,Corey Anderson,Rajiv Gandhi International Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
196,Corey Anderson,Sharjah Cricket Stadium ,1,1,0,0,0,0,2,0,13,13,13.0,92.86,0,0,0.031858172271649485
197,Corey Anderson,Sheikh Zayed Stadium ,1,1,0,0,0,0,0,0,2,2,2.0,25.0,1,0,0.0005493061443340549
198,Corey Anderson,Wankhede Stadium ,8,8,2,0,1,2,14,11,95*,163,27.17,161.39,4,0,0.22362742420510495
199,Angkrish Raghuvanshi,Arun Jaitley Stadium ,2,2,0,0,0,0,4,2,44,58,29.0,116.0,0,0,0.1371683596129884
200,Angkrish Raghuvanshi,Barsapara Cricket Stadium ,1,1,1,0,0,0,2,0,22*,22,0.0,129.41,1,0,0.0
201,Angkrish Raghuvanshi,BRSABV Ekana Cricket Stadium ,1,1,0,0,0,0,3,1,32,32,32.0,123.08,0,0,0.1377120482128942
202,Angkrish Raghuvanshi,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,0,0,1,0,5,3,54,54,54.0,200.0,0,0,0.4327919840051069
203,Angkrish Raghuvanshi,Eden Gardens ,12,9,1,0,1,0,21,5,50,197,24.63,149.24,5,0,0.19438512532006796
204,Angkrish Raghuvanshi,M Chinnaswamy Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
205,Angkrish Raghuvanshi,MA Chidambaram Stadium ,1,1,0,0,0,0,3,1,24,24,24.0,133.33,0,0,0.10300145129512253
206,Angkrish Raghuvanshi,Maharaja Yadavindra Singh International Cricket St ,1,1,0,0,0,0,5,1,37,37,37.0,132.14,0,0,0.17784813500411048
207,Angkrish Raghuvanshi,Wankhede Stadium ,2,2,0,0,0,0,3,3,26,39,19.5,177.27,0,0,0.1275158938620016
210,Anirudh Singh,MA Chidambaram Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
213,Srikkanth Anirudha,Eden Gardens ,2,1,0,0,0,0,0,0,3,3,3.0,60.0,0,0,0.002495329850015803
214,Srikkanth Anirudha,Himachal Pradesh Cricket Association Stadium ,1,1,1,0,0,0,0,0,1*,1,0.0,100.0,0,0,0.0
215,Srikkanth Anirudha,MA Chidambaram Stadium ,10,6,2,0,1,1,6,2,64,75,18.75,102.74,5,0,0.0834261643839408
217,Srikkanth Anirudha,Punjab Cricket Association IS Bindra Stadium ,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
218,Srikkanth Anirudha,Sawai Mansingh Stadium ,1,1,1,0,0,0,1,2,18*,18,0.0,300.0,0,0,0.0
219,Srikkanth Anirudha,Wankhede Stadium ,1,1,0,0,0,0,0,1,9,9,9.0,100.0,1,0,0.020723265836946413
220,Ankit Sharma,Arun Jaitley Stadium ,1,1,1,0,0,0,0,0,1*,1,0.0,100.0,0,0,0.0
222,Ankit Sharma,Dr YS Rajasekhara Reddy Cricket Stadium ,1,1,0,0,0,0,0,0,1,1,1.0,50.0,0,0,0.00034657359027997266
224,Ankit Sharma,MA Chidambaram Stadium ,2,1,0,0,0,1,0,0,0,0,0.0,0.0,1,0,0.0
226,Ankit Sharma,Narendra Modi Stadium ,2,1,0,0,0,0,0,0,4,4,4.0,133.33,0,0,0.008583454274593545
227,Ankit Sharma,Punjab Cricket Association IS Bindra Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
228,Ankit Sharma,Rajiv Gandhi International Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
230,Ankit Sharma,Sawai Mansingh Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
231,Ankit Sharma,Wankhede Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
232,Ankit Soni,Arun Jaitley Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
234,Ankit Soni,M Chinnaswamy Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
236,Ankit Soni,Punjab Cricket Association IS Bindra Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
239,Anmolpreet Singh,BRSABV Ekana Cricket Stadium ,1,1,0,0,0,0,3,1,31,31,31.0,119.23,1,0,0.12809810442415154
241,Anmolpreet Singh,Dubai International Cricket Stadium ,1,1,0,0,0,0,2,1,16,16,16.0,114.29,0,0,0.05180927249474959
242,Anmolpreet Singh,MA Chidambaram Stadium ,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
243,Anmolpreet Singh,Narendra Modi Stadium ,1,1,0,0,0,0,1,0,5,5,5.0,125.0,0,0,0.011198496682675344
244,Anmolpreet Singh,Rajiv Gandhi International Stadium ,2,2,0,0,0,0,8,0,36,41,20.5,128.13,0,0,0.09817605967908284
245,Anmolpreet Singh,Sawai Mansingh Stadium ,1,1,0,0,0,0,4,1,33,33,33.0,132.0,0,0,0.15360826445228
246,Zeeshan Ansari,BRSABV Ekana Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
247,Zeeshan Ansari,Dr YS Rajasekhara Reddy Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
248,Zeeshan Ansari,Eden Gardens ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
249,Zeeshan Ansari,MA Chidambaram Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
250,Zeeshan Ansari,Narendra Modi Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
251,Zeeshan Ansari,Rajiv Gandhi International Stadium ,4,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
252,Zeeshan Ansari,Wankhede Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0.0
253,Anshul Kamboj,Arun Jaitley Stadium ,1,1,1,0,0,0,1,0,5*,5,0.0,166.67,0,0,0.0
254,Anshul Kamboj,BRSABV Ekana Cricket Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
255,Anshul Kamboj,Eden Gardens ,2,2,2,0,0,0,1,0,4*,6,0.0,200.0,2,0,0.0
256,Anshul Kamboj,M Chinnaswamy Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
257,Anshul Kamboj,MA Chidambaram Stadium ,3,3,1,0,0,1,0,0,3*,5,2.5,62.5,0,0,0.002799624170668836
258,Anshul Kamboj,Narendra Modi Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
259,Anshul Kamboj,Wankhede Stadium ,2,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
260,Anuj Rawat,Arun Jaitley Stadium ,2,1,1,0,0,0,0,1,8*,8,0.0,266.67,3,0,0.0
262,Anuj Rawat,BRSABV Ekana Cricket Stadium ,1,1,0,0,0,0,0,0,9,9,9.0,81.82,0,0,0.01695577610778955
264,Anuj Rawat,Eden Gardens ,1,1,0,0,0,0,0,0,1,1,1.0,20.0,0,0,0.00013862943611198905
265,Anuj Rawat,M Chinnaswamy Stadium ,7,6,3,0,0,0,8,1,25*,88,29.33,98.88,5,0,0.13017720563133212
266,Anuj Rawat,MA Chidambaram Stadium ,1,1,0,0,0,0,4,3,48,48,48.0,192.0,0,0,0.35867015867387536
268,Anuj Rawat,Rajiv Gandhi International Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
269,Anuj Rawat,Sawai Mansingh Stadium ,1,1,1,0,0,0,3,2,29*,29,0.0,263.64,1,0,0.0
270,Anuj Rawat,Sharjah Cricket Stadium ,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
271,Anuj Rawat,Wankhede Stadium ,3,3,0,0,0,1,5,0,26,32,10.67,106.67,2,0,0.039796161650759866
272,Anureet Singh,Arun Jaitley Stadium ,1,1,1,0,0,0,0,1,8*,8,0.0,266.67,0,0,0.0
273,Anureet Singh,Eden Gardens ,2,1,1,0,0,0,0,0,3*,3,0.0,75.0,1,0,0.0
275,Anureet Singh,M Chinnaswamy Stadium ,1,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0.0
276,Anureet Singh,MA Chidambaram Stadium ,1,1,0,0,0,0,0,0,10,10,10.0,50.0,0,0,0.011989476363991853
278,Anureet Singh,Narendra Modi Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0
280,Anureet Singh,Punjab Cricket Association IS Bindra Stadium ,7,2,0,0,0,1,2,0,15,15,7.5,107.14,1,0,0.022279136677557758
281,Anureet Singh,Rajiv Gandhi International Stadium ,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0.0
